"A1"	"A2"	"A3"	"A4"	"B1"	"B2"	"B3"	"B4"
"Halomonas"	0.771604938271605	0.369685767097967	0.349040139616056	0.1669449081803	0.0800640512409928	0.0630517023959647	0	0.0707714083510262
"Halophibacterium"	0	0	0	0	0.0800640512409928	0	0	0
"Halovulum"	0	0	0	0	0.0800640512409928	0	0	0.0707714083510262
"Hanstruepera"	0	0	0.43630017452007	0	0	0	0	0
"Harenicola"	0	0	0	0.1669449081803	0	0	0	0
"Hathewaya"	0	0	0.087260034904014	0	0	0	0	0
"Heliomarina"	0	0	0	0	0.0800640512409928	0	0.107991360691145	0.0707714083510262
"Herbaspirillum"	0	0	0	0	0.0800640512409928	0	0	0
"Heyndrickxia"	0	0	0.087260034904014	0	0	0	0	0.141542816702052
"Hoeflea"	0	0	0	0	0.0800640512409928	0	0	0
"Hongsoonwoonella"	0	0	0.087260034904014	0.1669449081803	0	0	0.107991360691145	0
"Hydrogeniiclostridium"	0	0	0.087260034904014	0	0	0	0	0
"Hydrogenophilus"	0	0	0	0	0.0800640512409928	0	0	0
"Hymenobacter"	0	0	0	0	0	0	0	0.0707714083510262
"Hypericibacter"	0	0.184842883548983	0	0	0	0	0	0
"Hyphobacterium"	0	0	0	0.1669449081803	0	0	0	0
"Hyphococcus"	0	0	0.087260034904014	0	0	0	0	0
"Hyphomicrobium"	0.308641975308642	0.277264325323475	0	0.1669449081803	0.0800640512409928	0.126103404791929	0	0.0707714083510262
"Hyphomonas"	0	0	0	0.1669449081803	0	0	0	0.0707714083510262
"Hyunsoonleella"	0	0	0	0	0.0800640512409928	0	0	0
"Imhoffiella"	0.308641975308642	0.369685767097967	0.523560209424084	0.333889816360601	0.320256204963971	0	0.107991360691145	0.141542816702052
"Inconstantimicrobium"	0	0	0.087260034904014	0	0	0	0	0
"Inmirania"	0.154320987654321	0.277264325323475	0.174520069808028	0.333889816360601	0	0.126103404791929	0	0.212314225053079
"Isoalcanivorax"	0	0.277264325323475	0.087260034904014	0	0	0	0	0
"Jiangella"	0	0	0.087260034904014	0	0	0	0	0
"Kandeliimicrobium"	0	0.0924214417744917	0	0	0	0	0	0
"Kangiella"	0	0	0	0	0.0800640512409928	0	0	0
"Kangsaoukella"	0.462962962962963	0.462107208872458	0.174520069808028	0	0.160128102481986	0.126103404791929	0.323974082073434	0.212314225053079
"Kaustia"	0.154320987654321	0.0924214417744917	0.087260034904014	0.1669449081803	0	0	0	0.0707714083510262
"Ketobacter"	0	0	0	0	0	0	0.107991360691145	0.141542816702052
"Kiloniella"	0	0	0	0	0.0800640512409928	0	0	0
"Kineobactrum"	0.462962962962963	0.369685767097967	0.523560209424084	0.1669449081803	0.160128102481986	0.441361916771753	0.647948164146868	0.353857041755131
"Kineococcus"	0	0	0.087260034904014	0	0	0	0	0
"Kistimonas"	0	0.0924214417744917	0	0	0	0	0	0
"Kordiimonas"	0	0	0.087260034904014	0	0	0	0	0
"Kovacikia"	0	0.184842883548983	0	0	0	0	0	0
"Labilibacter"	0	0	0	0	0.240192153722978	0.315258511979823	0.215982721382289	0
"Labilibaculum"	0	0	0.43630017452007	0	0	0.0630517023959647	0	0
"Lacinutrix"	0	0	0.087260034904014	0	0	0	0	0
"Lacrimispora"	0	0	0	0	0	0.0630517023959647	0	0.0707714083510262
"Larsenimonas"	0	0	0.087260034904014	0	0	0	0	0
